ID,A_R,LogRe,mue,logSigma,eLogSigma,velocity,Type
51,0.299,0.08837615277347645,19.06,2.126,0.018,2394,-2
52,0.308,0.6340783092640893,20.92,1.797,0.025,4496,-2
53,0.321,0.08201053544180179,19.18,2.221,0.031,2459,-5
54,0.367,0.12207110177635876,18.82,2.12,0.025,3450,-2
55,0.331,0.6221284823412159,19.6,2.152,0.009,3341,-4
56,0.289,0.08373811579887015,19.92,1.884,0.025,2676,-2
57,0.344,0.4174882234663961,20.68,1.72,0.025,4745,-5
58,0.325,0.25802837549783275,19.43,2.095,0.025,3722,-2
59,0.329,0.16581368689832113,18.95,2.318,0.012,2092,-2
60,0.338,0.45326842684721663,19.42,2.107,0.021,3041,-2
61,0.347,0.31831222417621885,18.77,2.309,0.025,4678,-2
62,0.327,-0.026992371188291363,18.14,2.154,0.025,4839,-2
63,0.326,0.7175415543812591,18.98,2.374,0.012,4338,-5
64,0.281,0.6395180021279373,19.2,2.316,0.015,3001,-5
65,0.024,0.8984836016611935,20.39,2.359,0.019,6922,-5
66,0.023,0.3863499387655706,19.54,2.156,0.018,6282,-5
67,0.021,0.43270327673969744,19.75,2.248,0.024,6675,-5
68,0.026,0.3528539760413195,19.37,2.201,0.021,7122,-5
69,0.026,0.310979387349764,18.65,2.294,0.018,7477,-5
70,0.025,1.2713657865350618,21.26,2.43,0.013,7364,-4
71,0.029,0.8811439514628752,19.94,2.4,0.016,6806,-4
72,0.026,0.40879798075760726,19.0,2.371,0.024,6089,-4
73,0.03,0.5910041353537954,19.58,2.256,0.018,6277,-4
74,0.027,0.19717049190380032,18.7,2.166,0.018,7243,-5
75,0.03,0.10235598134421252,18.66,2.088,0.021,7330,-5
76,0.03,0.3087853320194889,19.03,2.235,0.021,6033,-4
77,0.026,0.5247105870891207,19.52,2.265,0.021,7169,-5
78,0.223,0.4535063194656344,19.37,2.23,0.013,5215,-2
79,0.028,0.8728413923725027,20.7,2.301,0.019,8406,-2
80,0.035,0.10729439348852109,18.74,2.174,0.021,5676,-5
81,0.028,-0.23810177384023545,17.77,2.234,0.016,5697,-4
82,0.028,0.252479718160013,19.71,2.001,0.024,8322,-4
83,0.033,0.5876737601608222,19.16,2.419,0.011,7951,-4
84,0.026,0.5033869727665184,19.67,2.195,0.029,7676,-4
85,0.032,0.19568489483522453,18.94,2.202,0.019,6389,-4
86,0.034,0.4112239190319347,19.12,2.306,0.015,7079,-4
87,0.027,0.5383715971276343,19.5,2.31,0.016,6841,-5
88,0.031,0.4263663628322101,20.41,1.748,0.031,6518,-4
89,0.03,0.5493228156182263,19.43,2.308,0.016,6856,-5
90,0.022,0.14571555579588583,19.65,1.987,0.021,6706,-4
91,0.027,0.08555884678442069,19.36,1.819,0.021,6476,-5
92,0.024,0.22390949079389244,18.46,2.298,0.021,7222,-5
93,0.023,1.4843679388931508,21.66,2.422,0.013,7213,-5
94,0.026,0.23656206881917013,18.57,2.252,0.024,8041,-5
95,0.023,-0.16207743196350632,17.7,2.229,0.015,6929,-5
96,0.021,0.1534183789596344,19.02,2.1,0.021,6686,-5
97,0.024,0.2790734343858868,18.86,2.273,0.013,6727,-4
98,0.029,0.24863464387742723,19.32,2.056,0.021,7575,-5
99,0.028,0.6762670709270615,19.91,2.297,0.011,6730,-4
0,0.025,0.5394319806869717,19.86,2.213,0.011,6400,-5
1,0.026,0.3483680508644799,19.59,2.03,0.014,7263,-5
2,0.025,1.1974329877432714,20.51,2.6,0.01,6519,-5
3,0.028,0.0955474002297805,18.07,2.266,0.021,7266,-5
4,0.03,0.2324176406125271,19.18,2.182,0.021,6779,-5
5,0.028,0.076785428940371,18.65,2.199,0.021,5735,-5
6,0.032,0.7651596969470373,19.52,2.326,0.029,8490,-2
7,0.024,0.38245875976293264,19.84,1.983,0.021,7820,-5
8,0.027,0.45441209152871276,19.32,2.218,0.021,7519,-4
9,0.028,0.474121607432851,19.99,2.102,0.024,7110,-2
10,0.03,0.3104863022091257,18.56,2.334,0.021,6938,-4
11,0.028,0.5742104232338984,19.11,2.294,0.016,8749,-3
12,0.026,0.5968774699593191,19.4,2.319,0.045,7667,-2
13,0.028,0.7394744909596418,20.59,2.381,0.016,5026,-4
14,0.245,0.9081825425097009,19.68,2.455,0.013,5116,-5
15,0.022,0.35393525572912843,20.1,2.109,0.017,5966,-5
16,0.022,0.4532374673628786,19.0,2.27,0.024,7328,-2
17,0.025,0.4785158662880586,20.04,2.154,0.024,7643,-5
18,0.025,0.4441670831843671,19.39,2.32,0.019,5507,-5
19,0.255,0.7015759403312969,19.25,2.439,0.016,4606,-5
20,0.024,0.35315033103309446,19.19,2.261,0.021,7584,-5
21,0.024,0.7498333342088173,19.49,2.433,0.011,7881,-4
22,0.024,0.7587778033742757,19.97,2.445,0.024,7754,-5
23,0.023,0.6357400533622541,20.24,2.264,0.03,6230,-3
24,0.2,0.399635416504572,18.84,2.327,0.011,4846,-5
25,0.028,0.32718685656692637,19.15,2.211,0.021,6367,-5
26,0.289,0.643124417013748,19.82,2.306,0.024,3033,-5
27,0.154,0.2955733804857271,19.23,2.024,0.013,10100,-5
28,0.145,0.781946322569439,19.79,2.325,0.018,10016,-5
29,0.143,0.8302985907785897,19.2,2.496,0.014,10545,-2
30,0.181,0.34544858903729386,18.53,2.414,0.035,14197,-2
31,0.179,0.5767221703232046,19.91,2.055,0.035,13106,-2
32,0.137,0.3614448302601253,19.15,2.148,0.011,10167,-2
33,0.175,0.533175545683691,19.63,2.247,0.035,14058,-2
34,0.143,1.0157348274778568,20.34,2.334,0.035,14979,-5
35,0.143,0.5973867653619287,19.97,2.071,0.035,14967,-2
36,0.142,0.569023836012704,19.98,2.283,0.035,13576,-5
37,0.158,1.1300666534273112,20.24,2.562,0.035,14415,-5
38,0.151,0.8185739516168618,21.23,1.94,0.035,15112,-5
39,0.139,0.5701446075053027,19.14,2.368,0.035,12909,-5
40,0.137,1.0875272994331844,20.83,2.256,0.035,14298,-5
41,0.137,0.3645416657572311,18.71,2.322,0.035,13973,-5
42,0.144,0.9318937763286211,19.85,2.433,0.035,13263,-5
43,0.138,0.4858547772132456,18.8,2.434,0.035,13602,-2
44,0.135,0.3991269546334627,18.5,2.392,0.035,15663,-2
45,0.132,0.5907079197581765,19.69,2.345,0.035,12344,-2
46,0.132,1.0317589113272365,19.95,2.525,0.035,15542,-5
47,0.132,1.8303917432043046,22.23,2.467,0.035,14065,-5
48,0.131,0.49228513553165165,19.27,2.202,0.035,13123,-5
49,0.13,0.41570192767490943,18.73,2.35,0.035,15047,-5
50,0.135,0.6776280381074606,19.28,2.418,0.035,12864,-5
51,0.134,0.6961876992642156,19.86,2.305,0.035,13211,-5
52,0.132,0.8173764296897646,19.55,2.482,0.035,15672,-5
53,0.136,0.8185785432017924,20.64,2.11,0.035,14136,-2
54,0.13,0.8934558353242329,19.9,2.383,0.035,15711,-5
55,0.128,0.6698816057951035,19.22,2.483,0.035,15799,-5
56,0.13,0.5697207045300249,19.55,2.136,0.035,14773,-5
57,0.131,0.8051799759400772,19.66,2.324,0.035,15238,-5
58,0.134,1.1071955357656116,20.36,2.409,0.035,15415,-5
59,0.158,0.9258717812204881,19.5,2.53,0.015,10177,-5
60,0.155,0.5258693199398328,19.88,2.113,0.015,9652,-5
61,0.185,0.5884383563784453,19.18,2.344,0.015,11225,-5
62,0.203,0.77532321260962,19.8,2.287,0.015,12220,-2
63,0.207,0.799021696302394,19.48,2.443,0.015,11318,-5
64,0.161,0.5249838963583336,19.66,2.204,0.021,10586,-2
65,0.142,0.41663554787620377,19.48,2.125,0.021,10799,-5
66,0.16,0.37093103528553334,18.73,2.344,0.016,4557,-5
67,0.169,0.6867292768638162,19.62,2.315,0.018,4310,-2
68,0.142,0.5153685572530827,18.64,2.526,0.021,11275,-2
69,0.137,0.4035227596770907,18.41,2.383,0.021,11595,-5
70,0.153,0.5192630307102317,19.19,2.24,0.021,12303,-3
71,0.127,0.8582907716891554,20.1,2.357,0.021,11723,-5
72,0.144,0.7520743638021464,19.24,2.366,0.015,12213,-5
73,0.148,1.087431251576761,21.37,2.148,0.016,5072,-2
74,0.144,0.5496524826587144,19.0,2.394,0.021,11652,-5
75,0.162,1.0034072876437143,20.19,2.442,0.009,4562,-5
76,0.148,0.6907608143596058,20.58,1.825,0.035,4881,-5
77,0.177,0.7850842264416585,19.78,2.289,0.021,11610,-5
78,0.132,0.7013153561352407,19.23,2.453,0.021,11017,-5
79,0.143,0.6829608385117721,20.08,2.335,0.01,3730,-5
80,0.181,0.5040018902303479,19.72,1.945,0.032,5392,-2
81,0.18,0.16941295907786033,18.54,2.33,0.032,4238,-2
82,0.157,0.5707403880121017,19.6,2.288,0.016,4555,-2
83,0.15,0.5709551148373889,19.3,2.409,0.015,11161,-5
84,0.173,0.038739140439628755,18.38,2.11,0.032,3949,-2
85,0.175,0.24092754558822452,18.93,2.211,0.032,4156,-2
86,0.197,0.18155408257869277,19.14,2.003,0.032,4162,-5
87,0.172,0.4683051618622893,19.77,2.163,0.032,3436,-5
88,0.205,0.510090754420088,19.21,2.413,0.025,4148,-2
89,0.178,0.10453982265521516,18.49,2.232,0.032,3911,-2
90,0.085,0.5239352557291285,18.84,2.418,0.035,5966,-5
91,0.169,0.22094738941710793,18.96,2.077,0.032,4253,-2
92,0.084,0.7335479977919185,19.82,2.307,0.026,6002,-5
93,0.18,-0.00830841916450455,17.19,2.396,0.032,5122,-2
94,0.18,0.3357211664369233,19.59,2.181,0.032,4013,-5
95,0.179,0.5528688931034101,19.54,2.258,0.032,4684,-5
96,0.19,1.0536360351847378,19.99,2.519,0.017,4182,-5
97,0.073,0.6928246658451968,20.1,2.279,0.035,7040,-2
98,0.067,0.7665860123253048,20.02,2.292,0.035,6704,-5
99,0.179,0.6880731825565574,19.52,2.266,0.011,6037,-5
0,0.206,0.4561306052017108,19.4,2.27,0.032,3836,-2
1,0.183,0.33401445408319547,18.67,2.297,0.025,4485,-2
2,0.199,0.41623547682530215,18.53,2.421,0.018,6966,-2
3,0.167,0.3993312121673012,19.54,2.118,0.032,4646,-5
4,0.153,0.7926938353167932,19.77,2.357,0.014,7302,-5
5,0.172,0.4687650184420094,19.23,2.328,0.018,6005,-5
6,0.16,0.19337180575607243,18.83,2.259,0.015,5972,-2
7,0.161,1.026028927001447,20.6,2.425,0.014,6543,-5
8,0.16,0.09832478992427932,18.7,2.125,0.018,5903,-5
9,0.156,0.5058311621121312,19.18,2.311,0.021,6495,-5
10,0.209,0.6439682808195627,18.93,2.437,0.035,7704,-5
11,0.221,0.041824781549264445,19.42,1.962,0.035,6801,-5
12,0.219,0.8289938403487228,19.65,2.41,0.015,6788,-5
13,0.208,0.08718110316366039,18.14,2.208,0.035,6838,-5
14,0.204,0.7260368753836323,19.55,2.425,0.035,7125,-5
15,0.185,0.8049383221455122,21.7,1.874,0.035,7107,-2
16,0.207,0.4798566350582426,19.07,2.34,0.025,6662,-5
17,0.195,0.28823169046384145,19.1,2.155,0.035,6531,-2
18,0.204,0.37092985589455135,20.59,1.799,0.035,6787,-5
19,0.212,0.7834172912462343,19.94,2.369,0.025,6459,-2
20,0.211,0.6930989382826563,20.61,2.195,0.035,7904,-5
21,0.107,0.695383568943747,20.65,2.184,0.021,10189,-5
22,0.097,1.5846045073540935,22.09,2.313,0.021,10336,-5
23,0.098,0.9097145146777216,20.87,2.196,0.021,9321,-4
24,0.099,0.6833797069801195,19.48,2.392,0.021,10026,-4
25,0.099,0.4927850943724745,19.09,2.365,0.021,10953,-4
26,0.092,0.9915854625561475,20.02,2.417,0.03,11758,-4
27,0.093,0.6535194037411102,20.23,2.137,0.03,10821,-2
28,0.083,0.5811373855929562,19.57,2.351,0.035,11269,-2
29,0.089,0.48293457186002925,20.33,2.05,0.035,9521,-2
30,0.089,0.13963953018972583,18.0,2.391,0.035,10032,-2
31,0.091,1.0900002626516383,20.67,2.325,0.035,10227,-5
32,0.089,0.2512471297577759,18.8,2.268,0.035,10139,-2
33,0.09,0.6100529059976885,19.9,2.312,0.035,9881,-2
34,0.09,0.388862421426566,18.91,2.196,0.035,10755,-2
35,0.091,0.571648063445056,19.62,2.235,0.02,10505,-2
36,0.091,0.5891750185820231,19.6,2.328,0.02,10542,-5
37,0.09,0.5688257529722077,19.6,2.288,0.035,10389,-2
38,0.091,0.17313423563186206,18.78,2.369,0.035,9202,-5
39,0.087,0.4483153071007517,19.4,2.337,0.035,10094,-2
40,0.089,0.4835237983447777,20.08,2.018,0.03,9756,-2
41,0.089,0.5842944624299261,20.29,2.156,0.03,9121,-2
42,0.024,0.7758045986204836,20.23,2.293,0.056,9048,-4
43,0.024,0.7676640470766343,18.94,2.43,0.055,8738,-4
44,0.024,0.6341801636000353,19.37,2.396,0.056,9035,-5
45,0.027,0.4948331934088753,20.27,1.806,0.056,9629,-5
46,0.028,0.4038115683148847,19.2,2.207,0.056,8924,-2
47,0.021,0.7730174591550772,20.01,2.19,0.026,10157,-4
48,0.027,0.18429100750769353,18.9,2.221,0.056,7835,-4
49,0.031,0.2024716425579028,18.61,2.272,0.056,8694,-4
50,0.024,0.3162378878024479,19.47,2.059,0.056,8035,-2
51,0.03,0.7027837972454327,19.6,2.287,0.013,8944,-4
52,0.015,1.1627493154351478,20.85,2.366,0.055,9408,-5
53,0.022,0.7102701617107477,19.94,2.312,0.017,8710,-5
54,0.023,0.44665274488362294,19.09,2.273,0.035,9625,-5
55,0.022,0.24826909675051081,18.53,2.354,0.02,8954,-2
56,0.027,0.4345640311788718,20.81,1.935,0.045,7858,-5
57,0.023,0.23956950344983569,18.82,2.147,0.056,9513,-4
58,0.028,0.6554001360616476,20.09,2.242,0.014,8773,-5
59,0.025,0.3509217084234768,19.05,2.196,0.056,9304,-2
60,0.029,0.477441694313076,18.83,2.459,0.056,10261,-2
61,0.026,0.3254548450821491,19.21,2.28,0.04,9380,-2
62,0.03,0.1114861368380805,18.72,2.139,0.035,9688,-4
63,0.031,-0.3806020408769715,17.35,2.173,0.035,8895,-2
64,0.03,0.05204826968638482,17.92,2.392,0.016,8527,-5
65,0.031,1.6561769558872759,22.04,2.475,0.014,9374,-5
66,0.029,0.0560210726867687,18.07,2.437,0.03,8237,-5
67,0.021,0.37221291655946376,18.85,2.34,0.056,10616,-2
68,0.03,0.14259994433085624,18.93,2.196,0.015,8267,-5
69,0.027,0.04383203493832725,18.71,2.221,0.015,8046,-5
70,0.026,0.05081074249904834,18.12,2.281,0.012,9174,-2
71,0.025,0.19001009060662397,18.49,2.253,0.024,9392,-5
72,0.024,0.25653129276496617,19.02,2.244,0.03,8400,-5
73,0.022,0.5713698734508031,20.34,1.996,0.056,8712,-4
74,0.017,0.2284493766690856,19.12,2.154,0.056,8132,-2
75,0.027,0.2571538809713125,18.66,2.381,0.056,7905,-2
76,0.019,1.0599175061352188,20.0,2.45,0.02,8824,-5
77,0.027,0.30877034948379256,18.73,2.311,0.04,9131,-4
78,0.031,0.3989667207629448,19.22,2.207,0.056,8825,-5
79,0.02,0.47995831560793667,19.21,2.379,0.056,8886,-4
80,0.02,0.3729346974982887,18.97,2.326,0.056,8906,-2
81,0.273,0.37592779504160867,18.81,2.339,0.035,4578,-2
82,0.232,0.5000303483771696,19.71,2.061,0.035,4740,-5
83,0.282,0.3511814994193793,18.98,2.178,0.035,4226,-5
84,0.288,-0.011204908034341564,18.94,1.988,0.028,4694,-5
85,0.25,0.1077564218981412,18.98,2.071,0.028,3635,-2
86,0.238,0.28477023567472204,19.44,2.085,0.028,4222,-2
87,0.248,1.0477539536660174,20.45,2.45,0.009,4503,-5
88,0.242,0.5694193810051043,19.3,2.344,0.028,4066,-5
89,0.231,0.581568148450512,20.47,2.141,0.008,3502,-2
90,0.194,0.6422973187148522,19.21,2.391,0.019,5624,-5
91,0.187,0.8924032570867282,19.59,2.455,0.016,6000,-5
92,0.181,0.42479931382869973,18.86,2.314,0.021,6303,-2
93,0.238,0.2556263833846458,18.37,2.047,0.021,6286,-2
94,0.19,0.13428794047085613,18.71,2.209,0.026,5689,-2
95,0.205,0.6736408316866981,19.62,2.266,0.021,6359,-5
96,0.089,0.7021225511817386,19.84,2.28,0.025,12790,-5
97,0.093,0.44210042745919,18.87,2.252,0.025,12878,-2
98,0.097,0.6880456346474335,19.56,2.332,0.025,13146,-5
99,0.096,0.4884729430196491,18.59,2.507,0.025,13342,-5
0,0.095,0.837689031985704,19.37,2.503,0.025,13105,-2
1,0.09,0.5383911605288394,19.67,2.26,0.025,12335,-5
2,0.09,0.47879190469594624,18.75,2.402,0.025,12547,-5
3,0.091,0.4873668276874256,19.3,2.272,0.025,14592,-2
4,0.091,0.8389186299637691,19.15,2.431,0.025,13604,-2
5,0.089,0.7203019509079742,19.01,2.434,0.025,13742,-5
6,0.092,0.8677482053357903,19.67,2.397,0.025,13443,-5
7,0.086,0.24618821593006396,18.33,2.279,0.025,14586,-2
8,0.089,1.1204291469475331,20.68,2.389,0.025,13007,-4
9,0.092,0.831857345417829,19.39,2.446,0.025,13951,-5
10,0.091,0.3769956150630424,19.53,2.084,0.025,13054,-2
11,0.303,1.0462146498347111,20.45,2.451,0.026,11884,-5
12,0.303,0.615794377222223,19.58,2.323,0.026,11629,-5
13,0.279,0.6541273019629176,19.78,2.196,0.026,11909,-5
14,0.252,0.9011798403838042,20.74,2.071,0.026,11993,-2
15,0.277,0.712380513831351,19.77,2.345,0.026,9957,-4
16,0.312,1.0994077393327963,20.8,2.461,0.026,10994,-4
17,0.283,0.8056772713809861,19.75,2.263,0.026,10056,-5
18,0.273,0.8653457734397434,19.82,2.339,0.026,12621,-5
19,0.088,0.3923348513074554,19.26,2.208,0.026,4865,-5
20,0.273,1.0546529622169825,20.08,2.42,0.026,11896,-5
21,0.082,0.33717845150958947,19.21,2.344,0.026,4988,-5
22,0.305,0.5512471051344261,19.89,2.138,0.026,9840,-2
23,0.12,0.5178375585962807,18.74,2.365,0.017,5195,-5
24,0.224,0.5942372977325865,19.68,2.261,0.026,11967,-5
25,0.214,0.8117088247563772,20.18,2.264,0.018,11980,-5
26,0.089,0.598625573722069,19.36,2.32,0.026,5289,-2
27,0.17,0.9332604165830362,19.87,2.476,0.018,11041,-5
28,0.169,0.4184705879753908,19.1,2.424,0.026,11382,-2
29,0.175,0.5750965694300888,18.98,2.301,0.026,12270,-5
30,0.087,0.5580832813291483,18.93,2.471,0.022,4851,-2
31,0.164,0.4416916014697847,19.16,2.378,0.035,8520,-2
32,0.188,0.8444256897615495,20.74,2.093,0.045,10004,-2
33,0.155,0.2517944727822214,18.51,2.249,0.035,9216,-5
34,0.226,0.43801716648385236,18.9,2.353,0.035,9349,-2
35,0.186,0.17043614410143884,18.6,2.267,0.015,9576,-5
36,0.183,0.5066679190570659,19.22,2.381,0.023,9320,-4
37,0.189,0.32531666308141627,19.05,2.216,0.015,10164,-2
38,0.202,0.45605055308644565,18.95,2.292,0.02,9264,-4
39,0.178,0.7310809223589213,19.72,2.342,0.015,10835,-5
40,0.177,0.5360603440411509,19.07,2.202,0.056,9480,-2
41,0.176,0.7144372436504196,19.73,2.339,0.014,9554,-5
42,0.181,1.093815889925052,20.25,2.516,0.013,9090,-5
43,0.182,0.20070105368435118,18.43,2.312,0.014,8118,-5
44,0.179,0.27426103982669786,18.89,2.273,0.034,9863,-5
45,0.173,0.02828362165405768,17.71,2.377,0.035,8512,-5
46,0.177,0.4817703648805148,19.46,2.318,0.014,8424,-2
47,0.173,0.5768935707860957,19.34,2.345,0.016,9282,-5
48,0.214,0.11088417194908408,18.29,2.221,0.034,9498,-2
49,0.18,0.4330359356199961,19.26,2.293,0.03,9032,-2
50,0.235,0.33881283669710455,19.19,2.167,0.056,9785,-2
51,0.225,0.05959321347358189,18.25,2.234,0.034,8899,-2
52,0.237,0.6212209695817769,18.92,2.442,0.03,9289,-4
53,0.18,-0.2322656868946527,17.05,2.145,0.056,9649,-2
54,0.248,0.18252025822931975,18.34,2.193,0.056,9189,-2
55,0.222,0.44659854409944916,19.33,2.363,0.035,9962,-5
56,0.294,0.5788283418785823,19.34,2.338,0.03,9302,-2
57,0.189,0.7360207821564346,20.09,2.363,0.035,8705,-5
58,0.246,0.8987954752355743,19.37,2.527,0.026,9409,-4
59,0.264,0.4357700881480773,19.44,2.232,0.056,8985,-3
60,0.274,0.6816417159017616,19.65,2.358,0.035,10849,-5
61,0.243,0.560415466861558,19.79,2.221,0.056,8733,-4
62,0.199,1.014794589006028,20.13,2.44,0.035,9606,-5
63,0.342,0.8139587631749517,19.99,2.368,0.023,11877,-4
64,0.335,0.25948465866759096,18.51,2.232,0.032,12596,-5
65,0.332,0.868813454848057,19.99,2.4,0.032,12347,-2
66,0.327,0.41321814429744913,18.76,2.311,0.032,12387,-4
67,0.323,0.46118358125874026,19.47,2.345,0.023,11938,-3
68,0.297,0.7913088864628696,19.98,2.361,0.032,12276,-4
69,0.052,-0.1828161659012628,18.12,2.137,0.022,8034,-5
70,0.052,0.5966359643439288,20.15,2.113,0.028,8798,-2
71,0.05,-0.024815036741703794,18.9,2.103,0.028,8374,-5
72,0.052,0.6354354858776984,19.34,2.343,0.029,8574,-2
73,0.052,0.3732007211024849,19.28,2.117,0.022,8932,-5
74,0.05,0.5440944881089427,20.95,2.018,0.028,8353,-2
75,0.051,0.3155144661418113,19.66,2.154,0.028,7469,-2
76,0.052,0.5419687266511892,19.85,2.24,0.04,9766,-2
77,0.051,0.5736783477183501,19.16,2.421,0.022,8345,-5
78,0.051,0.9380737943234833,20.19,2.426,0.016,8238,-5
79,0.048,0.24786286936455182,19.76,2.035,0.028,8234,-2
80,0.05,0.2695710316627407,18.7,2.251,0.016,8459,-5
81,0.05,0.691487010071392,20.11,2.287,0.019,8114,-2
82,0.049,0.41091130012490784,19.85,2.111,0.021,8292,-5
83,0.05,1.0786149263008291,20.9,2.348,0.015,8637,-5
84,0.05,-0.23815409744798507,17.02,2.227,0.021,9541,-5
85,0.049,0.0042613822900629955,19.33,1.81,0.028,8166,-2
86,0.05,-0.002823345091766969,18.57,2.196,0.028,8221,-2
87,0.05,0.4733000656162575,20.48,1.948,0.028,9573,-2
88,0.049,0.45857578375384994,20.57,1.841,0.022,9690,-5
89,0.057,0.5762448113095553,20.07,2.138,0.04,10568,-2
90,0.056,0.580790638875044,19.27,2.489,0.022,8101,-5
91,0.06,0.8627215764994768,20.12,2.345,0.04,10244,-2
92,0.057,0.2870731897548778,18.77,2.221,0.04,9012,-2
93,0.06,0.25533536740114654,19.26,2.119,0.04,9842,-2
94,0.058,0.48017421343360195,20.31,1.953,0.028,9288,-2
95,0.049,0.4934413064399087,18.89,2.439,0.026,9687,-2
96,0.053,0.9025474076487741,19.85,2.432,0.017,8266,-5
97,0.054,0.661053473021025,19.48,2.385,0.026,8766,-2
98,0.043,0.6748717882057658,19.23,2.337,0.018,8682,-5
99,0.045,0.4778200453034675,18.86,2.364,0.018,8661,-5
